Name,Website,Description,Category,Location
The Local,http://www.thelocal-cville.com,Seasonal American fare in a cozy restaurant,American,Belmont Charlottesville VA
Mas Tapas,http://www.mastapas.com,Eclectic Spanish small plates in a lively setting,Spanish,Belmont Charlottesville VA
Citizen Burger Bar,http://www.citizenburgerbar.com,Gourmet burgers with local ingredients and craft beers,American,Downtown Charlottesville VA
C&O Restaurant,http://www.candorestaurant.com,Elevated cuisine in a charming historic building,Fine Dining,Downtown Charlottesville VA
Oakhart Social,http://www.oakhartsocial.com,Rustic-chic hub for wood-fired dishes and craft cocktails,New American,West Main Charlottesville VA
Bodo's Bagels,http://www.bodosbagels.com,Popular spot for fresh bagels and sandwiches,Bakery,Ivy Road Charlottesville VA
Tavola,http://www.tavolavino.com,Cozy trattoria serving Italian classics,Italian,Belmont Charlottesville VA
Milan Indian Cuisine,http://www.milan-india.com,Traditional Indian dishes and a lunch buffet,Indian,29 North Charlottesville VA
Zocalo,http://www.zocalo-restaurant.com,Latin-inspired dishes and outdoor seating,Latin American,Downtown Charlottesville VA
Sultan Kebab,http://www.sultankebab.com,Family-run spot for authentic Turkish cuisine,Turkish,Downtown Mall Charlottesville VA
